"","Dish_id","Dish_name","menu_page_id","price","Menu_id","Menupage_id","event","place","physical_description","notes","date","states"
"4841",219,"Boiled potatoes",59330,NA,30204,59330,"","","24x16.5cm folded; 24x33cm open","","1939-07-31T00:00:00Z",""
"4842",219,"Boiled potatoes",59334,NA,30205,59334,"","","24x16.5cm folded; 24x33cm open","","1939-07-31T00:00:00Z",""
"4843",219,"Boiled potatoes",59348,NA,30209,59348,"","","24x16.5cm folded; 24x33cm open","","1939-08-19T00:00:00Z",""
"4844",219,"Boiled potatoes",59353,NA,30210,59353,"","","21x14cm folded; 21x28cm open","Menu also translated into English","1939-08-30T00:00:00Z",""
"4845",219,"Boiled potatoes",59378,0.25,30218,59378,"","","30.5x20.5cm folded; 30.5x41cm open","Arthur H. Rumpf Menu Collection","1939-10-13T00:00:00Z",""
"4846",219,"Boiled potatoes",59412,0.25,30229,59412,"","","30.5x20.5cm folded; 30.5x41cm open","Arthur H. Rumpf Menu Collection","1939-09-27T00:00:00Z",""
"4847",219,"Boiled potatoes",59443,0.1,30237,59443,"","","24x16.5cm folded; 24x33cm open","","1939-12-06T00:00:00Z",""
"4848",219,"Boiled potatoes",5966,NA,14386,5966,"DINNER","ATLANTIC CITY, NJ","CARD; ILLUS; COL; 4X9.75;","SKETCH OF WOMAN AT TOP;","1901-07-28T00:00:00Z","LA"
"4849",219,"Boiled potatoes",59982,0.2,30350,59982,"","","30.5x23cm folded; 30.5x46.5cm open","","1940-08-30T00:00:00Z",""
"4850",219,"Boiled potatoes",60005,NA,30357,60005,"","","29x22.5cm folded; 29x44.5cm open","","1940-10-24T00:00:00Z",""
"4851",219,"Boiled potatoes",60007,0.2,30357,60007,"","","29x22.5cm folded; 29x44.5cm open","","1940-10-24T00:00:00Z",""
"4852",219,"Boiled potatoes",60065,NA,30366,60065,"","","24x17cm folded; 24x34cm open","","1940-02-27T00:00:00Z",""
"4853",219,"Boiled potatoes",60068,NA,30367,60068,"","","24x17cm folded; 24x34cm open","","1940-02-27T00:00:00Z",""
"4854",219,"Boiled potatoes",60071,NA,30368,60071,"","","24x17cm folded; 24x34cm open","","1940-02-27T00:00:00Z",""
"4855",219,"Boiled potatoes",60074,NA,30369,60074,"","","24x17cm folded; 24x34cm open","","1940-02-27T00:00:00Z",""
"4856",219,"Boiled potatoes",60080,NA,30371,60080,"","","24x17cm folded; 24x34cm open","","1940-02-27T00:00:00Z",""
"4857",219,"Boiled potatoes",60083,NA,30372,60083,"","","24x17cm folded; 24x34cm open","","1940-02-27T00:00:00Z",""
"4858",219,"Boiled potatoes",6016,NA,14403,6016,"DAILY MENU, LUNCHEON","7TH AVENUE & 36TH STREET, NEW YORK CITY","BROADSIDE; 5.5X6.75;","PRICED MENU; SPON AND PL NOTED BY FEB;","1907-11-25T00:00:00Z","NY"
"4859",219,"Boiled potatoes",60172,0.15,30394,60172,"","","28x21cm folded; 28x43.5cm open","","1940-04-03T00:00:00Z",""
"4860",219,"Boiled potatoes",6020,NA,14404,6020,"DAILY MENU, LUNCHEON","ON BOARD R.M.S.""MAURETANIA""","FOLDER; ILLUS; COL; 5X7.25;","PRINTED ON BEIGE STOCK WITH ILLUSTRATION OF SHIP;","1907-11-26T00:00:00Z","AR"
"4861",219,"Boiled potatoes",60225,0.15,30408,60225,"","","35.5x28cm ","","1940-05-26T00:00:00Z",""
"4862",219,"Boiled potatoes",60259,0.25,30419,60259,"","","30.5x23.5cm folded; 30.5x47cm open","","1940-07-06T00:00:00Z",""
"4863",219,"Boiled potatoes",60264,NA,30420,60264,"","","17.5x11.5cm","","1940-07-14T00:00:00Z",""
"4864",219,"Boiled potatoes",60274,NA,30425,60274,"","","28.5x23cm folded; 28.5x45.5cm open","","1940-09-01T00:00:00Z",""
